Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
ADAMTS17	17109	170691	Weill-Marchesani-like syndrome	AR	Pediatric		Musculoskeletal; Ophthalmologic	Ophthalmologic; Pharmacogenomic		Individuals may be at risk of glaucoma, and surveillance may allow early management and preventive measures; Agents that may contribute to glaucoma should be avoided	19836009; 20375329; 22486325 
ADAMTS18	17110	170692	Knobloch syndrome 2; Microcornea, myopic chorioretinal atrophy, and telecanthus; Retinal dystrophy, early onset, autosomal recessive	AR	N/A	N/A	Craniofacial; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21862674; 22686506; 23356391; 23818446
ADAMTS2	218	9509	Ehlers-Danlos syndrome, type VII	AR	Pediatric		Craniofacial; Dermatologic; Musculoskeletal; Obstetric	Obstetric		Individuals may  be prone to injuries (especially during delivery, as multiple congenital skull fractures and intracranial hemorrhage have been reported), and knowledge may allow delivery-based interventions to decrease related morbidity and mortality	1303238; 8215497; 7735500; 10417273; 15373769; 15389701; 18973246
ADAMTSL2	14631	9719	Geleophysic dysplasia 1	AR	Pediatric		Biochemical; Cardiovascular; Craniofacial; Gastrointestinal; Musculoskeletal 	Cardiovascular		The disorder may frequently be clinically recognizable, but individuals can have cardiovascular manifestations such as progressive cardiac valve thickening necessitating surgical interventions very early in childhood, and early diagnosis may be beneficial to allow early treatment	18677313; 21415077; 21683322; 20301776
ADAMTSL4	19706	54507	Ectopia lentis, isolated, autosomal recessive	AR	Pediatric		Ophthalmologic	Ophthalmologic; Pharmacogenomic		Although management related to some manifestations may be made through clinical observations (eg, related to amblyopia), surveillance related to intraocular pressure monitoring may be beneficial to allow prompt interventions; preventive measures (eg, related to contact sports) may be beneficial; Agents that may contribute to glaucoma should be avoided	2377351; 19200529; 20702823; 21051722; 22736615; 2338190
ADAR	225	103	Dyschromatosis symmetrica hereditaria; Aicardi-Goutieres syndrome 6	AD/AR	N/A	N/A	Dermatologic; Hematologic; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12916015; 12713580; 23001123
ADCK3	16812	56997	Coenzyme Q10 deficiency; Progressive cerebellar ataxia and atrophy; Spinocerebellar ataxia 9	AR	Pediatric		Biochemical; Neurologic	Biochemical		Treatment with coenzyme Q10 may have some benefit in some individuals, though some features may not be affected, and some invidiuals may not derive benefit	12682339; 15326254; 18319074; 18319072; 20580948; 22036850; 22231380 
ADCK4	19041	79934	Nephrotic syndrome, type 9	AR	Pediatric		Renal	Biochemical		The condition manifests as steroid-resistant nephrotic syndrome, with focal segmental glomerulosclerosis, and treatment with coenzyme Q10 has been described as beneficial	24270420
ADK	257	132	Hypermethioninemia due to adenosine kinase deficiency	AD	N/A	N/A	Audiologic/Otolaryngologic; Biochemical; Cardiovascular; Gastrointestinal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21963049
ADRA2C	283	152	Beta-blocker response, association with	AD	Pediatric		General	Pharmacogenomic		The presence of variants may influence medication choice (eg, in congestive heart failure)	17496726
ADRB1	285	153	Beta-blocker response, association with	AD	Pediatric		General	Pharmacogenomic		The presence of variants may influence medication choice (eg, in congestive heart failure)	10212248; 12197595; 12374873; 16844790; 17496726
ADRB2	286	154	Beta-2-adrenoreceptor agonist, reduced response to	AD	Pediatric		General	Pharmacogenomic		Selection of medications (eg, in asthma treatment) may be influenced by the presence of certain variants	8383511; 7706471; 9399966; 11306963; 11739457; 12030897; 12571262; 15284533; 15500895; 15867853; 16596417
ADSL	291	158	Adenylosuccinase deficiency	AR	N/A	N/A	Biochemical; Neurologic	General	As with many disorders involving seizures, appropriate interventions may be beneficial (eg, ketogenic diet has been reported as beneficial)	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	6150139; 3234432; 1405483; 1302001; 9266401; 9266351; 10090474; 10888601; 11042421; 12070256; 12833398; 17188615; 18524658; 18649008; 18830228; 20177786; 20933180; 22883297; 23055421; 23504561
AFF2	3776	2334	Premature ovarian failure	XL	Pediatric	Allelic with Mental retardation, X-linked, FRAXE type (XL)	Endocrine; Neurologic; Obstetric	Obstetric	Deletions involving the gene have been described in affected individuals	Genetic knowledge might be beneficial to allow interventions such as preserving eggs in women with premature ovarian insufficiency	8334699; 8023854; 7536393; 7783162; 8673085; 8651274; 9341861; 9475603; 10528856; 12605436; 19136466; 21739600
AFG3L2	315	10939	Spinocerebellar ataxia 28; Ataxia, spastic, 5, autosomal recessive	AD/AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16251216; 20725928; 20208537
AFP	317	174	AFP deficiency, congenital; Hereditary persistence of AFP	AD/AR	N/A	N/A	General	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1690155; 1379776; 7684942; 15280901; 18854864
AGA	318	175	Aspartylglucosaminuria	AR	N/A	N/A	Allergy/Immunology/Infectious; Biochemical; Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; BMT has been described, but did not appear to be overall beneficial	4173687; 5512217; 6796777; 6883788; 3228136; 1904874; 1722323; 1703489; 1765378; 1756604; 1301945; 8405810; 8064811; 9427148; 9627765; 10353787; 11174635; 11796409; 12022293; 12366426; 15127757; 16218917; 23271757
AGBL1	26504	123624	Corneal dystrophy, Fuchs endothelial, 8	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; BMT has been described, but did not appear to be overall beneficial	24094747
AGK	21869	55750	Sengers syndrome	AR	Pediatric	Allelic with Cataract, autosomal recessive; Cataract, autosomal recessive, congenital 5	Biochemical; Cardiovascular; Musculoskeletal; Neurologic; Ophthalmologic	Biochemical; Cardiovascular		Individuals can have cardiomyopathy, and early diagnosis may benefit medical management; Avoidance of factors that may precipitate lactic acidosis may be beneficial	1168700; 3789054; 3560758; 3337009; 15168109; 16736096; 22415731; 22277967; 22284826; 23266196 
AGL	321	178	Glycogen storage disease III	AR	Pediatric		Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic	Biochemical; Pharmacogenomic		Dietary measures (eg, high-protein diet with frequent feeding, including cornstarch) to maintain glucose levels is beneficial; Certain medications should be avoided or used with caution; Experimental treatment (eg, with synthetic ketone bodies) has been described as additionally beneficial; Liver transplantation has been described	5235982; 5285455; 288318; 6572629; 2792130; 2295969; 1293383; 1632441; 8253364; 8273986; 8755644; 8990006; 10472540; 10982190; 10655153; 11977176; 17047887; 18541889; 18924225; 19834502; 21073127; 21857385; 22138524; 22089644; 23207808; 23430490; 23649758; 23688858
AGPAT2	325	10555	Lipodystrophy, congenital generalized, type 1	AR	Pediatric		Cardiovascular; Endocrine; Gastrointestinal; Musculoskeletal	Cardiovascular; Endocrine; Gastrointestinal		Dietary measures (eg, restriction of fat intake to 20-30% of total dietary energy) and medications (eg, leptin, though availability may be limited)  may be beneficial; Surveillance for manifestations, including diabetes and cardiac and hepatic manifestations, may allow early diagnosis and treatment	8783769; 11967537; 14602785; 14557463; 15181077; 17671040; 17118991; 19278620; 20301391 
AGPS	327	8540	Rhizomelic chondrodysplasia punctata, type 3	AR	N/A	N/A	Biochemical; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7807941; 9553082; 21990100
AGRN	329	375790	Myasthenia, limb-girdle, familial	AR	Pediatric		Musculoskeletal; Neurologic	Musculoskeletal; Neurologic; Pharmacogenomic		Ephedrine treatment has been reported as effective in affected inviduals; Medical treatment with acetylcholine esterase inhibitors and/or potassium channel blocker 3,4-diaminopyridine may be beneficial in many individuals; In infancy, the use of apnea monitors may be indicated; Agents that affect neuromuscular transmission and exacerbate myasthenic manifestations should be avoided 	19631309; 22678886; 20301347  
AGT	333	183	Renal tubular dysgenesis	AR	N/A	N/A	Renal	Renal		Treatment with fresh frozen plasma in the neonatal period has been reported as effective in terms of maintaing blood pressure and allowing survival	1394429; 8348146; 8513325; 8132767; 7649545; 9120024; 9120002; 9259580; 9421481; 10585456; 11829142; 11731937; 15023884; 16116425; 17047091; 17036344; 20978123; 22685354 
AGTR1	336	185	Renal tubular dysgenesis	AR	N/A	N/A	Renal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8021009; 16116425; 17668390
AGTR2	338	186	Mental retardation, X-linked 88	XL	N/A	N/A	Neurologic	General	The evidence of mutations as being related to disease causation has been questioned due to subsequent population-based studies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12089445; 12746399; 14598163; 14722754; 16463274; 22269148; 23871722
AGXT	341	189	Hyperoxaluria, primary, type 1	AR	Pediatric		Biochemical; Cardiovascular; Renal	Biochemical; Cardiovascular; Renal		Fluid intake and medical management (eg, pyridoxine in those who are pyridoxine responsive, potassium/sodium citrate or neutral orthophosphate) can be beneficial to reduce calcium oxalate supersaturation/biosynthesis and reduce stone formation; Organ transplantation (preemptive liver transplantation or liver/kidney transplantation) may be beneficial; Surveillance for renal and related complications (which can include cardiac dysrhythmias) can be beneficial; Dehydration and excessive intake of oxalate-rich foods should be avoided, as well as certain vitamins and medications	449695; 6472428; 3974685; 2887776; 2797068; 2189732; 7969325;  1703535; 2039493; 1961759; 9604813; 10586179; 10453743; 10485304; 11562405; 8507692; 11688375; 12543880; 15327387; 16247357; 15855742; 15464418; 15840016; 15849466; 15767715; 16810517; 16916735; 17460142; 17495019; 18359396; 18282470; 18337715; 19935811; 19571789; 19225556; 19132372; 19479957; 20733487; 20016466; 20301460; 20490484; 22547750; 22821680; 22956877; 23439734; 23810941; 24012869
